junction_name,current_month,previous_month,growth_pct,trend,emerging_score
Btp172 - Nanjappa Circle,158.0,129.0,22.5,Stable,114.1
Btp167 - Jc Road Junction,100.0,81.0,23.5,Stable,108.5
Btp096 - Gali Anjaneya Temple,193.0,162.0,19.1,Stable,100.6
Btp106 - Vv Puram College,76.0,62.0,22.6,Stable,98.2
Btp082 - Kr Market Junction,2648.0,2394.0,10.6,Stable,83.5
"Btp123 - 10Th Cross, Wilson Garden",169.0,147.0,15.0,Stable,77.0
"Btp062 - Basava Mantapa, Dr. Rajkumar Road",76.0,67.0,13.4,Stable,58.2
Btp023 - Mahalaxmi Layout Entrance,403.0,378.0,6.6,Stable,39.6
"Btp083 - As Char Street, Mysore Road",582.0,549.0,6.0,Stable,38.2
Btp220 - Puttanna Junction,52.0,48.0,8.3,Stable,33.0
Btp208 - Havanur Circle,217.0,205.0,5.9,Stable,31.8
"Btp026 - 1St Block Junction, Rajajinagar",163.0,155.0,5.2,Stable,26.5
Btp192 - Urvashi Theater,120.0,114.0,5.3,Stable,25.4
Btp140 - Madiwala Check Post,83.0,80.0,3.8,Stable,16.8
Btp218 - Syndicate Bank Junction,93.0,90.0,3.3,Stable,15.0
Btp104 - Medical College Circle,283.0,296.0,-4.4,Stable,-24.9
Btp137 - Madiwala Traffic Ps Junction,133.0,141.0,-5.7,Stable,-27.9
Btp010 - Rajajinagar Entrance,160.0,181.0,-11.6,Stable,-58.9
Btp043 - Upparpet Junction,292.0,326.0,-10.4,Stable,-59.1
Btp028 - Vijayanagar Bus Stand Junction,156.0,182.0,-14.3,Stable,-72.3
Btp044 - Sagar Theatre Junction,1728.0,1932.0,-10.6,Stable,-79.0
Btp038 - Mysore Bank Junction,207.0,245.0,-15.5,Improving,-82.7
"Btp182 - 19Th Main Junction, Rajajinagar",255.0,307.0,-16.9,Improving,-93.7
Btp071 - Prasanna Junction,132.0,164.0,-19.5,Improving,-95.4
Btp207 - 8Th Main Road Basaveshwara Nagar,82.0,106.0,-22.6,Improving,-99.9
Btp118 - Basappa Circle,96.0,125.0,-23.2,Improving,-106.1
Btp067 - Jai Muni Rao Circle,53.0,76.0,-30.3,Improving,-120.9
Btp027 - Modi Bridge Junction,666.0,818.0,-18.6,Improving,-121.0
Btp215 - Vanivillas Junction,40.0,61.0,-34.4,Improving,-127.7
Btp020 - Hosahalli Metro Station,516.0,656.0,-21.3,Improving,-133.1
"Btp226 - 33Rd Cross, 11Th Main, Jayanagar",58.0,89.0,-34.8,Improving,-141.9
Btp108 - Tagore Park Junction,254.0,346.0,-26.6,Improving,-147.4
Btp018 - Dhobi Ghat Junction,50.0,89.0,-43.8,Improving,-172.2
"Btp204 - Esi Hospital, Rajajinagar",92.0,149.0,-38.3,Improving,-173.6
"Btp170 - Dr. Bheem Rao Palace, Chord Road",97.0,164.0,-40.9,Improving,-187.5
Btp180 - Swagath Poornima Theatre,38.0,78.0,-51.3,Improving,-187.9
Btp078 - Nr Square Junction,31.0,69.0,-55.1,Improving,-191.0
"Btp210 - 50Th Cross, 12Th Main , Rajajinagar",66.0,121.0,-45.5,Improving,-191.3
"Btp080 - Nr Road, Sp Road Junction",652.0,936.0,-30.3,Improving,-196.4
Btp076 - Hudson Circle,85.0,153.0,-44.4,Improving,-197.8
"Btp022 - Marenahalli Junction, Vijayanagar",151.0,257.0,-41.2,Improving,-207.0
"Btp095 - Satellite Bus Stand, Mysore Road",72.0,146.0,-50.7,Improving,-217.5
"Btp148 - 17Th Main, Doopanahalli Bus Stop",69.0,157.0,-56.1,Improving,-238.3
"Btp206 - Shankara Mutt Circle, Vijayanagar",123.0,247.0,-50.2,Improving,-242.0
Btp109 - Dewan Madhava Rao Junction,37.0,112.0,-67.0,Improving,-243.7
Btp061 - Bhashyam Circle,162.0,328.0,-50.6,Improving,-257.7
Btp017 - Attiguppe Circle,19.0,232.0,-91.8,Improving,-275.0
Btp205 - Modi Hospital Junction,136.0,337.0,-59.6,Improving,-293.2
"Btp016 - 5Th Main Road, Rpc Layout",171.0,480.0,-64.4,Improving,-331.5
