junction_name,total_violations,unique_vehicles,peak_violations,avg_latitude,avg_longitude,peak_hour_ratio,repeat_rate,unique_violation_types,unique_vehicle_types,violations_per_vehicle,severity_raw,severity_score,behavioral_score,density_score,IPII,risk_category,risk_rank,estimated_violations_prevented,estimated_enforcement_effort_saved,efficiency_score,impact_score,impact_rank,projection_type
Btp104 - Medical College Circle,1508,1296,285,12.959562748076925,77.57661357181698,0.1889920424403183,0.1405835543766578,21,19,1.1635802469135803,7.319202458767849,0.6978796440248506,0.2944402865673536,0.1697777039252613,47.12,Moderate,21,226,4,5.85189021232522,38.87,22,Simulation-Based Estimate
Btp043 - Upparpet Junction,1786,1533,197,12.971139927984629,77.57557195804274,0.1103023516237402,0.1416573348264277,15,17,1.1650358773646443,7.488293515159428,0.7198410783635408,0.2325826551699883,0.1712884828879309,46.4,Moderate,23,268,4,6.939409632314862,38.51,23,Simulation-Based Estimate
Btp068 - Veeresh Theatre Junction,504,353,32,12.977227481944444,77.54562137718254,0.0634920634920634,0.2996031746031746,11,15,1.4277620396600563,6.22455842927536,0.5557080029519652,0.3560722594122394,0.4439683781516637,47.35,Moderate,20,76,4,1.9678922837907822,38.27,24,Simulation-Based Estimate
Btp061 - Bhashyam Circle,1030,801,31,12.985184338307276,77.55392274871211,0.0300970873786407,0.2223300970873786,12,14,1.285892634207241,6.93828448401696,0.6484062699183823,0.2506194039241498,0.2967240600296489,45.87,Moderate,25,154,4,3.98757120662869,37.49,25,Simulation-Based Estimate
Btp048 - Shanthala Junction,1593,1478,396,12.976960576691845,77.57075523407478,0.2485875706214689,0.0721908349026993,47,15,1.0778078484438431,7.374001859350161,0.7049969538540649,0.2724284146931459,0.0807557031206786,45.04,Moderate,28,239,4,6.188503366131538,37.27,26,Simulation-Based Estimate
"Btp070 - Cholurpalya Junction, Magadi Road",2272,2042,120,12.973484256997908,77.550805919489,0.0528169014084507,0.1012323943661971,25,14,1.1126346718903035,7.728855823852543,0.751085151583434,0.1454035779983991,0.1169019874753798,44.25,Moderate,29,341,4,8.829621957534956,37.17,27,Simulation-Based Estimate
"Btp189 - New Diagonal Road, Jayanagar",602,443,28,12.928112280564784,77.58069761295681,0.0465116279069767,0.2641196013289036,7,11,1.3589164785553047,6.401917196727186,0.5787432421237176,0.3063321662918221,0.3725145106441398,45.58,Moderate,26,90,4,2.330398757120663,36.93,28,Simulation-Based Estimate
Btp137 - Madiwala Traffic Ps Junction,596,516,232,12.92332618796038,77.6198709011831,0.3892617449664429,0.1342281879194631,17,19,1.1550387596899223,6.391917113392602,0.5774444379277979,0.4481802913407428,0.1609126110041965,45.54,Moderate,27,89,4,2.3045054375971,36.89,29,Simulation-Based Estimate
Btp108 - Tagore Park Junction,1801,1628,180,12.943901209259396,77.57143116315804,0.0999444752915047,0.096057745696835,21,13,1.1062653562653562,7.496652438168283,0.7209267297440374,0.1778329641835182,0.1102913617868751,43.59,Moderate,31,270,4,6.9911962713619875,36.27,30,Simulation-Based Estimate
"Btp182 - 19Th Main Junction, Rajajinagar",1390,1175,38,12.99900715064247,77.5508516759733,0.0273381294964028,0.1546762589928057,9,13,1.1829787234042553,7.237778191923443,0.6873043142112008,0.1794768213345574,0.1899111177106976,43.55,Moderate,32,208,4,5.385810460901087,35.92,31,Simulation-Based Estimate
Btp038 - Mysore Bank Junction,2021,1819,61,12.973430411726868,77.58124380880751,0.0301830776843146,0.0999505195447798,29,19,1.1110500274876305,7.611842399580417,0.7358875255898597,0.1259903614243858,0.1152573066945397,42.88,Moderate,33,303,4,7.845675815639565,35.87,32,Simulation-Based Estimate
Btp132 - Anepalya Junction,158,105,17,12.951251251265823,77.60690484050633,0.1075949367088607,0.3354430379746835,7,8,1.5047619047619047,5.068904202220232,0.4056123978542789,0.4278733419993185,0.5238854863979491,43.59,Moderate,30,24,4,0.6214396685655101,35.0,33,Simulation-Based Estimate
"Btp095 - Satellite Bus Stand, Mysore Road",775,706,235,12.953825250666531,77.54339804607628,0.3032258064516129,0.0890322580645161,21,14,1.0977337110481586,6.654152520183219,0.6115033987647038,0.3332994564693017,0.1014364837498835,42.6,Moderate,34,116,4,3.003625064733299,34.68,34,Simulation-Based Estimate
Btp096 - Gali Anjaneya Temple,972,927,302,12.952594812896978,77.54121609195656,0.3106995884773662,0.0462962962962962,35,18,1.0485436893203883,6.880384082186005,0.6408862041021891,0.2957329657119176,0.0503828320862654,41.92,Moderate,36,146,4,3.7804246504401866,34.29,35,Simulation-Based Estimate
"Btp148 - 17Th Main, Doopanahalli Bus Stop",745,652,149,12.963663511161307,77.64223399413451,0.2,0.1248322147651006,37,15,1.142638036809816,6.61472560020376,0.6063826565280447,0.2871969326918572,0.1480420701086922,41.9,Moderate,37,112,4,2.900051786639047,34.1,36,Simulation-Based Estimate
Btp069 - Mc Circle,1075,919,40,12.974620575358044,77.54751794417268,0.0372093023255813,0.1451162790697674,17,16,1.1697497279651796,6.98100574072173,0.6539548784255964,0.1776326833453128,0.1761809240396331,41.55,Moderate,39,161,4,4.16882444329363,34.07,37,Simulation-Based Estimate
"Btp206 - Shankara Mutt Circle, Vijayanagar",719,584,29,12.998620176634214,77.54142142920723,0.0403337969401947,0.1877607788595271,9,11,1.231164383561644,6.579251212010101,0.6017752665001765,0.2235846008566789,0.2399223562190143,41.59,Moderate,38,108,4,2.796478508544795,33.83,38,Simulation-Based Estimate
Btp142 - Lower Agram Road Junction,33,19,5,12.961824142424245,77.61549586666666,0.1515151515151515,0.4242424242424242,5,6,1.736842105263158,3.5263605246161616,0.2052678473310813,0.5534910420254389,0.7647583565094193,42.16,Moderate,35,5,4,0.12946659761781462,33.75,39,Simulation-Based Estimate
"Btp026 - 1St Block Junction, Rajajinagar",1086,940,42,13.002439084069982,77.55009351215469,0.0386740331491712,0.1344383057090239,5,14,1.1553191489361705,6.99117688712121,0.6552759001790125,0.1679242199735966,0.1612036231730343,41.03,Moderate,42,163,4,4.220611082340756,33.67,40,Simulation-Based Estimate
"Btp022 - Marenahalli Junction, Vijayanagar",1157,1011,45,12.968779866920466,77.53673460275871,0.0388936905790838,0.1261884183232497,25,16,1.1444114737883284,7.05444965813294,0.6634937257438559,0.1596937795084925,0.149882696125274,40.96,Moderate,43,174,4,4.505437597099949,33.67,41,Simulation-Based Estimate
Btp008 - Navarang Theatre,1190,1055,69,12.998492417815124,77.55309264941177,0.0579831932773109,0.1134453781512605,10,13,1.127962085308057,7.0825485693553,0.6671431937108043,0.1619809479125648,0.1328101005041748,40.87,Moderate,44,178,4,4.6090108751942,33.62,42,Simulation-Based Estimate
Btp205 - Modi Hospital Junction,1045,917,72,12.997488303320912,77.54695407575124,0.0688995215311004,0.1224880382775119,19,13,1.1395856052344602,6.952728644624869,0.6502822679252401,0.1799279672942892,0.1448739930698634,40.81,Moderate,45,157,4,4.065251165199379,33.46,43,Simulation-Based Estimate
"Btp117 - 9Th Cross, Kanakapura Road",307,253,87,12.91214845732899,77.57334888045604,0.2833876221498371,0.1758957654723127,10,12,1.2134387351778655,5.730099782973574,0.4914880416737817,0.4059378866657356,0.2215251478765284,41.18,Moderate,40,46,4,1.1910926980838943,33.18,44,Simulation-Based Estimate
"Btp033 - Sophia High School, Sankey Road",208,158,45,12.990444546153846,77.58866545673077,0.2163461538461538,0.2403846153846154,3,7,1.3164556962025316,5.342334251964811,0.4411253114987728,0.41801518521359,0.3284450446129964,41.17,Moderate,41,31,4,0.8026929052304504,33.1,45,Simulation-Based Estimate
Btp135 - Uco Bank Junction,1112,1034,162,12.935621750629496,77.61497794019785,0.14568345323741,0.0701438848920863,20,12,1.0754352030947776,7.014814351275545,0.6583459183575991,0.1880193950522532,0.0782931669209007,40.12,Moderate,48,167,4,4.324184360435008,32.96,46,Simulation-Based Estimate
Btp130 - Gd Mara Junction,631,507,5,12.908069876703646,77.60081684453249,0.0079239302694136,0.196513470681458,16,9,1.244575936883629,6.448889394146858,0.5848439599936635,0.2065752030754014,0.2538420242231883,40.52,Moderate,46,95,4,2.4598653547384774,32.91,47,Simulation-Based Estimate
"Btp024 - Nps, Vijayanagar",632,523,39,12.98291347845193,77.54882366500652,0.0617088607594936,0.1724683544303797,9,15,1.2084130019120458,6.450470422144176,0.5850493028621255,0.2251025404798262,0.2163090079665401,40.33,Moderate,47,95,4,2.4598653547384774,32.76,48,Simulation-Based Estimate
Btp208 - Havanur Circle,812,708,71,12.987954160845806,77.53755577344506,0.0874384236453202,0.1280788177339901,16,11,1.1468926553672316,6.70073110954781,0.6175529950813203,0.2004557755305512,0.1524578805955016,39.94,Moderate,50,122,4,3.158984981874676,32.58,49,Simulation-Based Estimate
Btp041 - Gopal Gowda Circle,378,335,126,12.977295857671956,77.59026518835978,0.3333333333333333,0.1137566137566137,9,8,1.128358208955224,5.937536205082426,0.5184297466983608,0.3825781913518702,0.1332212318269074,40.06,Moderate,49,57,4,1.4759192128430865,32.34,50,Simulation-Based Estimate
Btp063 - Siddalingaiah Circle,1060,958,72,12.971526511981132,77.5967034683019,0.0679245283018867,0.0962264150943396,13,17,1.1064718162839249,6.966967138613983,0.6521315540879549,0.1523888711224815,0.1105056438201054,39.39,Moderate,53,159,4,4.117037804246505,32.34,51,Simulation-Based Estimate
Btp140 - Madiwala Check Post,368,306,74,12.932305598913045,77.6132812736413,0.2010869565217391,0.1684782608695652,7,12,1.2026143790849673,5.910796644040527,0.5149568302319384,0.3325393385062204,0.2102906965378374,39.93,Moderate,51,55,4,1.4241325737959605,32.23,52,Simulation-Based Estimate
Btp074 - Leprosy Hospital Junction,1047,953,70,12.975846885138832,77.56179568138215,0.0668576886341929,0.0897803247373447,42,17,1.098635886673662,6.954638864880987,0.6505303660661024,0.1449671996427145,0.1023728395087559,38.92,Moderate,55,157,4,4.065251165199379,31.95,53,Simulation-Based Estimate
Btp118 - Basappa Circle,653,556,45,12.958166349617152,77.57756666983154,0.0689127105666156,0.1485451761102603,20,16,1.1744604316546765,6.483107351457199,0.5892881656111084,0.2064892611598588,0.1810700990553522,39.28,Moderate,54,98,4,2.5375453133091663,31.93,54,Simulation-Based Estimate
Btp180 - Swagath Poornima Theatre,261,209,53,12.96046395210728,77.58731793409962,0.2030651340996168,0.1992337164750957,9,15,1.248803827751196,5.568344503761097,0.4704793732133116,0.3654599420130412,0.2582300944057776,39.65,Moderate,52,39,4,1.0098394614189539,31.92,55,Simulation-Based Estimate
Btp010 - Rajajinagar Entrance,957,856,26,12.982261563097772,77.56008112329171,0.0271682340647857,0.1055381400208986,32,19,1.1179906542056075,6.86484777797086,0.638868359207444,0.1292719542521858,0.1224608883629485,38.27,Moderate,56,144,4,3.728638011393061,31.36,56,Simulation-Based Estimate
"Btp204 - Esi Hospital, Rajajinagar",638,554,43,12.990358886677116,77.55373500799372,0.067398119122257,0.1316614420062695,7,13,1.151624548736462,6.459904454377535,0.5862745887161698,0.1880740224467661,0.1573690480903858,38.1,Moderate,57,96,4,2.4857586742620406,30.98,57,Simulation-Based Estimate
Btp028 - Vijayanagar Bus Stand Junction,754,691,79,12.972568562228885,77.53806133053999,0.1047745358090185,0.0835543766578249,16,15,1.0911722141823443,6.626717749249025,0.607940188898222,0.1689567901071321,0.0946263957764909,37.36,Moderate,60,113,4,2.92594510616261,30.47,58,Simulation-Based Estimate
Btp143 - Asc Junction,24,18,15,12.9694987,77.6197457625,0.625,0.25,4,6,1.3333333333333333,3.218875824868201,0.1653319383139381,0.7547357926221336,0.3459621136590228,37.83,Moderate,58,4,4,0.10357327809425168,30.28,59,Simulation-Based Estimate
"Btp123 - 10Th Cross, Wilson Garden",535,467,47,12.94600243397952,77.59607296917757,0.0878504672897196,0.1271028037383177,7,13,1.145610278372591,6.284134161070802,0.5634456595136175,0.1997909076508791,0.1511269190287809,37.19,Moderate,61,80,4,2.071465561885034,30.17,60,Simulation-Based Estimate
Btp109 - Dewan Madhava Rao Junction,309,243,8,12.940864320388348,77.57243474530745,0.0258899676375404,0.2135922330097087,4,8,1.271604938271605,5.736572297479192,0.492328687568099,0.2383503212046707,0.2818950555740188,37.4,Moderate,59,46,4,1.1910926980838943,30.16,61,Simulation-Based Estimate
Btp100 - Richmond Circle,304,249,11,12.962800310526315,77.59827016480263,0.0361842105263157,0.1809210526315789,6,7,1.2208835341365465,5.720311776607412,0.490216781893966,0.2132956393975965,0.2292520030270637,35.49,Moderate,62,46,4,1.1910926980838943,28.63,62,Simulation-Based Estimate
Btp018 - Dhobi Ghat Junction,382,342,59,12.98761222696335,77.54981949005236,0.1544502617801047,0.1047120418848167,14,17,1.1169590643274854,5.948034989180646,0.5197933218189467,0.2302558293705271,0.1213902153189554,35.33,Moderate,64,57,4,1.4759192128430865,28.56,63,Simulation-Based Estimate
"Btp188 - 27Th Cross, 4Th Main, Jayanagar",294,237,2,12.929681475170067,77.5805690537415,0.0068027210884353,0.1938775510204081,10,7,1.240506329113924,5.68697535633982,0.4858870697233928,0.2029923833940355,0.2496182339058772,35.38,Moderate,63,44,4,1.1393060590367685,28.53,64,Simulation-Based Estimate
Btp167 - Jc Road Junction,372,337,69,12.9582712466602,77.58126169958715,0.1854838709677419,0.0940860215053763,10,14,1.1038575667655786,5.921578419643816,0.5163571601016494,0.2442554058255341,0.1077923499531079,35.3,Moderate,65,56,4,1.4500258933195236,28.53,65,Simulation-Based Estimate
"Btp186 - 9Th Cross, 4Th Main, Jayanagar",546,509,73,12.939329417176364,77.58299607614546,0.1336996336996337,0.0677655677655677,6,8,1.0726915520628684,6.304448802421981,0.566084111668738,0.1760089694287101,0.0754455689904745,35.09,Moderate,66,82,4,2.1232522009321597,28.5,66,Simulation-Based Estimate
Btp054 - Shivananda Circle,751,711,31,12.986267004491276,77.57886273319414,0.0412782956058588,0.0532623169107856,29,13,1.0562587904360057,6.62273632394984,0.6074230840190618,0.087293910545328,0.0583902301534216,34.16,Moderate,70,113,4,2.92594510616261,27.91,67,Simulation-Based Estimate
Btp078 - Nr Square Junction,244,197,7,12.965873413934425,77.5854067954918,0.0286885245901639,0.1926229508196721,8,12,1.2385786802030456,5.501258210544727,0.4617662499119495,0.2192226598891848,0.2476175534310772,34.62,Moderate,67,37,4,0.9580528223718281,27.89,68,Simulation-Based Estimate
Btp192 - Urvashi Theater,625,584,40,12.95650754928,77.58603276544001,0.064,0.0656,10,14,1.0702054794520548,6.439350371100098,0.5836050380023576,0.1180426719840478,0.0728653081850339,34.18,Moderate,69,94,4,2.4339720352149143,27.83,69,Simulation-Based Estimate
Btp136 - Hosur-Tavarkere Road Junction,360,330,63,12.93432707138889,77.60844668972223,0.175,0.0833333333333333,9,12,1.0909090909090908,5.8888779583328805,0.5121100458588836,0.2249119308740444,0.0943533037251879,34.24,Moderate,68,54,4,1.3982392542723976,27.67,70,Simulation-Based Estimate
"Btp226 - 33Rd Cross, 11Th Main, Jayanagar",492,448,34,12.925926613617886,77.58563274735774,0.0691056910569105,0.089430894308943,38,12,1.0982142857142858,6.20050917404269,0.5525845016210397,0.1464095518323078,0.1019352656316765,34.06,Moderate,72,74,4,1.9161056447436562,27.63,71,Simulation-Based Estimate
Btp071 - Prasanna Junction,721,683,21,12.974369503954971,77.55203424621543,0.029126213592233,0.0527045769764216,15,14,1.055636896046852,6.582025138892826,0.602135542285279,0.0770039396373984,0.0577447744613888,33.57,Moderate,74,108,4,2.796478508544795,27.42,72,Simulation-Based Estimate
Btp196 - Sarakki Main Road,138,135,78,12.910996460923243,77.57833824855072,0.5652173913043478,0.0217391304347826,6,12,1.022222222222222,4.934473933130692,0.3881526835988689,0.4743248515323593,0.0230641409106012,34.1,Moderate,71,21,4,0.5437597099948214,27.39,73,Simulation-Based Estimate
"Btp210 - 50Th Cross, 12Th Main , Rajajinagar",455,410,24,12.986979151428573,77.55512463802198,0.0527472527472527,0.0989010989010989,5,11,1.1097560975609757,6.1224928095143865,0.5424517879016109,0.142972401476888,0.1139143544974832,33.69,Moderate,73,68,4,1.7607457276022784,27.3,74,Simulation-Based Estimate
"Btp115 - Sahasra Hospital, Jayanagar",362,317,17,12.91728404702033,77.5738125694776,0.0469613259668508,0.1243093922651933,19,12,1.1419558359621451,5.8944028342648505,0.5128276130833049,0.1642332670496796,0.1473340231670918,33.52,Moderate,75,54,4,1.3982392542723976,27.1,75,Simulation-Based Estimate
"Btp099 - Cash Pharmacy, Residency Road",349,306,18,12.969120946131804,77.60030236275072,0.0515759312320916,0.1232091690544412,17,16,1.1405228758169934,5.857933154483459,0.5080909552436537,0.1668038863352634,0.1458467734052743,33.33,Moderate,77,52,4,1.3464526152252718,26.93,76,Simulation-Based Estimate
"Btp168 - Msr Building, Jc Road",132,113,35,12.96118081060606,77.58428897045455,0.2651515151515151,0.1439393939393939,6,11,1.168141592920354,4.890349128221754,0.382421783181102,0.3587872745400162,0.174511862642162,33.37,Moderate,76,20,4,0.5178663904712585,26.8,77,Simulation-Based Estimate
"Btp062 - Basava Mantapa, Dr. Rajkumar Road",425,393,42,12.979911838377566,77.5546504141,0.0988235294117647,0.0752941176470588,18,15,1.0814249363867685,6.054439346269371,0.5336130491979221,0.1557792504838425,0.0845098292907537,33.04,Moderate,79,64,4,1.657172449508027,26.76,78,Simulation-Based Estimate
Btp122 - Siddapura Junction,146,116,11,12.94840029178082,77.59279610068494,0.0753424657534246,0.2054794520547945,4,10,1.2586206896551724,4.990432586778736,0.3954205564479632,0.2696458569496988,0.2684188812871729,33.23,Moderate,78,22,4,0.5696530295183843,26.7,79,Simulation-Based Estimate
Btp017 - Attiguppe Circle,422,380,8,12.960583327014218,77.52963757037915,0.0189573459715639,0.0995260663507109,11,9,1.1105263157894736,6.0473721790462776,0.5326951702027665,0.1165772823708967,0.1147137534764127,32.43,Moderate,80,63,4,1.6312791299844638,26.27,80,Simulation-Based Estimate
Btp076 - Hudson Circle,455,423,19,12.968029834285714,77.58880913494505,0.0417582417582417,0.0703296703296703,12,13,1.0756501182033098,6.1224928095143865,0.5424517879016109,0.105068530671721,0.0785162243765159,31.84,Moderate,81,68,4,1.7607457276022784,25.82,81,Simulation-Based Estimate
"Btp163 - 16Th Main Road, Btm Layout",364,342,38,12.91499527445055,77.60852014148351,0.1043956043956044,0.0604395604395604,4,10,1.064327485380117,5.899897353582492,0.5135412376107761,0.1451009608537026,0.0667646184254255,31.37,Moderate,82,55,4,1.4241325737959605,25.38,82,Simulation-Based Estimate
Btp067 - Jai Muni Rao Circle,409,374,5,12.978517780813087,77.54273679499191,0.0122249388753056,0.0855745721271393,13,13,1.0935828877005347,6.016157159698354,0.5286409841776769,0.0969755769366715,0.0971284008935758,31.28,Moderate,83,61,4,1.579492490937338,25.34,83,Simulation-Based Estimate
Btp218 - Syndicate Bank Junction,351,339,55,12.934673374928776,77.58443592279203,0.1566951566951566,0.0341880341880341,10,6,1.0353982300884956,5.863631175598097,0.5088310104496475,0.1601917893044511,0.0367393395036131,30.98,Moderate,85,53,4,1.3723459347488347,25.06,84,Simulation-Based Estimate
Btp126 - Dairy Circle,334,304,15,12.936743940419165,77.60242927844311,0.0449101796407185,0.0898203592814371,6,14,1.0986842105263157,5.814130531825066,0.5024018996430606,0.1274499853732216,0.1024229941753685,30.99,Moderate,84,50,4,1.294665976178146,25.05,85,Simulation-Based Estimate
Btp207 - 8Th Main Road Basaveshwara Nagar,213,190,23,12.991897484976526,77.53847353051643,0.107981220657277,0.107981220657277,8,9,1.1210526315789473,5.365976015021851,0.4441958880159937,0.1964117038555694,0.1256388728551188,30.61,Moderate,86,32,4,0.8285862247540134,24.65,86,Simulation-Based Estimate
Btp091 - Sirsi Circle,263,243,30,12.9622084391635,77.55862826692015,0.1140684410646387,0.0760456273764258,21,15,1.0823045267489713,5.575949103146316,0.4714670535414999,0.1687409255124359,0.085422744113339,30.34,Moderate,87,39,4,1.0098394614189539,24.47,87,Simulation-Based Estimate
Btp009 - Prakash Nagar Junction,262,233,6,12.99251787442748,77.55763266068702,0.0229007633587786,0.1106870229007633,3,8,1.1244635193133048,5.572154032177765,0.4709741522392956,0.1311043967334636,0.1291789866452146,30.07,Moderate,89,39,4,1.0098394614189539,24.26,88,Simulation-Based Estimate
"Btp145 - Sri Hatti Maramma Circle, Domluru",175,150,10,12.961282601803124,77.63615441362482,0.0571428571428571,0.1428571428571428,7,13,1.1666666666666667,5.170483995038151,0.4188055140232521,0.1912775957840762,0.1729810568295115,30.14,Moderate,88,26,4,0.6732263076126359,24.25,89,Simulation-Based Estimate
"Btp089 - Police Quarters, Sultan Road",87,77,26,12.960983110344827,77.56353294367817,0.2988505747126437,0.1149425287356321,11,7,1.12987012987013,4.477336814478207,0.3287800175968569,0.3562003644239694,0.1347904338931258,29.82,Low,90,4,1,0.10357327809425168,23.88,90,Simulation-Based Estimate
"Btp015 - Suguna Hospital, Dr. Rajkumar Road",103,86,13,12.98771043883495,77.55949917572815,0.1262135922330097,0.1650485436893204,3,10,1.197674418604651,4.6443908991413725,0.350476891397468,0.2691459601777193,0.2051635790303507,29.7,Low,91,5,1,0.12946659761781462,23.79,91,Simulation-Based Estimate
Btp203 - Rrmr Junction,130,123,42,12.96743880076923,77.59360017,0.3230769230769231,0.0538461538461538,11,14,1.056910569105691,4.875197323201151,0.3804538767869163,0.3133277091801518,0.0590667023320282,29.6,Low,92,6,1,0.15535991714137753,23.71,92,Simulation-Based Estimate
